"","x","y","z","a","h","g","seg"
"396",0.0097561245393915,0,0.00168261200867506,0.00084130600433753,1.0204,1.02552716633142,5
"397",0.00894311416110887,0,0.00164486594455879,0.000822432972279395,1.0204,1.02552716633142,6
"398",0.00813010378282625,0,0.0016417869388133,0.00082089346940665,1.0204,1.02552716633142,7
"399",0.00731709340454363,0,0.00171762612636668,0.00085881306318334,1.0204,1.02552716633142,8
"400",0.006504083026261,0,0.00175890380385541,0.000879451901927705,1.0204,1.02552716633142,9
"401",0.00569107264797838,0,0.00183065052336287,0.000915325261681435,1.0204,1.02552716633142,10
"402",0.00487806226969575,0,0.0017565815685188,0.0008782907842594,1.0204,1.02552716633142,11
"403",0.00406505189141312,0,0.00175930268192168,0.00087965134096084,1.0204,1.02552716633142,12
"404",0.0032520415131305,0,0.00166245343254677,0.000831226716273385,1.0204,1.02552716633142,13
"405",0.00243903113484787,0,0.0015466519276054,0.0007733259638027,1.0204,1.02552716633142,14
"406",0.00162602075656525,0,0.00134194546869055,0.000670972734345275,1.0204,1.02552716633142,15
"407",0.000813010378282625,0,0.00126375063205082,0.00063187531602541,1.0204,1.02552716633142,16
"408",0,0,0.00102509620338851,0.000512548101694255,1.0204,1.02552716633142,17
"409",0.0135980278049417,0,0,0,1.0204,1.02834007722194,1
"410",0.0127481510671328,0,0.00180786061655418,0.00090393030827709,1.0204,1.02834007722194,2
"411",0.011898274329324,0,0.00142423455394568,0.00071211727697284,1.0204,1.02834007722194,3
"412",0.0110483975915151,0,0.000909626756982665,0.000454813378491332,1.0204,1.02834007722194,4
"413",0.0101985208537063,0,0.000564580335395632,0.000282290167697816,1.0204,1.02834007722194,5
"414",0.00934864411589742,0,0.000446813310668418,0.000223406655334209,1.0204,1.02834007722194,6
"415",0.00849876737808856,0,0.0007301257564064,0.0003650628782032,1.0204,1.02834007722194,7
"416",0.00764889064027971,0,0.00105768302274575,0.000528841511372875,1.0204,1.02834007722194,8
"417",0.00679901390247085,0,0.00162586436400754,0.00081293218200377,1.0204,1.02834007722194,9
"418",0.00594913716466199,0,0.00204163714840093,0.00102081857420046,1.0204,1.02834007722194,10
"419",0.00509926042685314,0,0.0025137422745752,0.0012568711372876,1.0204,1.02834007722194,11
"420",0.00424938368904428,0,0.00299941182300241,0.00149970591150121,1.0204,1.02834007722194,12
"421",0.00339950695123542,0,0.00334705633674011,0.00167352816837005,1.0204,1.02834007722194,13
"422",0.00254963021342657,0,0.00370187264931965,0.00185093632465982,1.0204,1.02834007722194,14
"423",0.00169975347561771,0,0.0039494542531485,0.00197472712657425,1.0204,1.02834007722194,15
"424",0.000849876737808856,0,0.00407758892937508,0.00203879446468754,1.0204,1.02834007722194,16
"425",0,0,0.00400889540031799,0.00200444770015899,1.0204,1.02834007722194,17
"426",0.0169930114166,0,0,0,1.0204,1.03527370660838,1
"427",0.0159309482030625,0,0.0013822466379,0.00069112331895,1.0204,1.03527370660838,2
"428",0.014868884989525,0,0.000810033617,0.0004050168085,1.0204,1.03527370660838,3
"429",0.0138068217759875,0,0.0006092040647,0.00030460203235,1.0204,1.03527370660838,4
"430",0.01274475856245,0,0.0008774283539,0.00043871417695,1.0204,1.03527370660838,5
"431",0.0116826953489125,0,0.0013695239492,0.0006847619746,1.0204,1.03527370660838,6
"432",0.010620632135375,0,0.0015693342694,0.0007846671347,1.0204,1.03527370660838,7
"433",0.0095585689218375,0,0.0017764392346,0.0008882196173,1.0204,1.03527370660838,8
"434",0.0084965057083,0,0.0018929913961,0.00094649569805,1.0204,1.03527370660838,9
"435",0.0074344424947625,0,0.0020413769426,0.0010206884713,1.0204,1.03527370660838,10
"436",0.006372379281225,0,0.0023738334142,0.0011869167071,1.0204,1.03527370660838,11
"437",0.0053103160676875,0,0.0027737395346,0.0013868697673,1.0204,1.03527370660838,12
"438",0.00424825285415,0,0.003136639243,0.0015683196215,1.0204,1.03527370660838,13
"439",0.0031861896406125,0,0.0035610269249,0.00178051346245,1.0204,1.03527370660838,14
"440",0.002124126427075,0,0.0039301865003,0.00196509325015,1.0204,1.03527370660838,15
"441",0.0010620632135375,0,0.0045114994683,0.00225574973415,1.0204,1.03527370660838,16
"442",0,0,0.0045040039108,0.0022520019554,1.0204,1.03527370660838,17
"443",0.0121242902334635,0,0,0,1.0204,1.02834007722194,1
"444",0.011366522093872,0,0.00198925813593388,0.00099462906796694,1.0204,1.02834007722194,2
"445",0.0106087539542806,0,0.00148052135537149,0.000740260677685745,1.0204,1.02834007722194,3
"446",0.00985098581468909,0,0.000983694377132579,0.00049184718856629,1.0204,1.02834007722194,4
"447",0.00909321767509762,0,0.000575638223856273,0.000287819111928136,1.0204,1.02834007722194,5
"448",0.00833544953550616,0,0.000450432074535777,0.000225216037267888,1.0204,1.02834007722194,6
"449",0.00757768139591469,0,0.000654465256658661,0.00032723262832933,1.0204,1.02834007722194,7
"450",0.00681991325632322,0,0.000933406784159877,0.000466703392079939,1.0204,1.02834007722194,8
"451",0.00606214511673175,0,0.00131100748481746,0.00065550374240873,1.0204,1.02834007722194,9
"452",0.00530437697714028,0,0.00171908899276196,0.00085954449638098,1.0204,1.02834007722194,10
"453",0.00454660883754881,0,0.00214553898072173,0.00107276949036087,1.0204,1.02834007722194,11
"454",0.00378884069795734,0,0.00243343736471113,0.00121671868235556,1.0204,1.02834007722194,12
"455",0.00303107255836587,0,0.00270623173437275,0.00135311586718638,1.0204,1.02834007722194,13
"456",0.00227330441877441,0,0.0031900250625002,0.0015950125312501,1.0204,1.02834007722194,14
"457",0.00151553627918294,0,0.00342784606370327,0.00171392303185164,1.0204,1.02834007722194,15
"458",0.000757768139591469,0,0.00379707025457979,0.0018985351272899,1.0204,1.02834007722194,16
"459",0,0,0.0040309134570093,0.00201545672850465,1.0204,1.02834007722194,17
"460",0.0138445258765535,0,0,0,1.0204,1.03070975428771,1
"461",0.0129792430092689,0,0.000947949274900101,0.00047397463745005,1.0204,1.03070975428771,2
"462",0.0121139601419843,0,0.000870870994374565,0.000435435497187283,1.0204,1.03070975428771,3
"463",0.0112486772746997,0,0.00098523543024149,0.000492617715120745,1.0204,1.03070975428771,4
"464",0.0103833944074151,0,0.00115346574244846,0.00057673287122423,1.0204,1.03070975428771,5
"465",0.00951811154013053,0,0.00116144809271325,0.000580724046356625,1.0204,1.03070975428771,6
