"angle_deg","phi_scatter_rad","mod_f_bempp","theta_body_tmm","phi_body_tmm","theta_scatter_tmm","phi_scatter_tmm","mod_f_tmm","sigma_scat_dB","delta_amp_db"
0,0,0.00560310890668196,1.5707963267949,6.12303176911189e-17,0,0,8.30272959235725e-05,-81.6155821235281,-36.5841634006909
10,0.174532925199433,0.00589075061057393,1.5707963267949,6.12303176911189e-17,0.174532925199433,3.52611346193123e-16,8.72595716225833e-05,-81.1837384679202,-36.5871512066523
100,1.74532925199433,0.049393072398188,1.5707963267949,6.12303176911189e-17,1.74532925199433,6.21748940377806e-17,0.00060838994591788,-64.316359431778,-38.1896802603659
102,1.78023583703422,0.0446540827966788,1.5707963267949,6.12303176911189e-17,1.78023583703422,6.25982394121132e-17,0.000553434394320954,-65.1386770846156,-38.1359005506771
104,1.8151424220741,0.0394601681541437,1.5707963267949,6.12303176911189e-17,1.8151424220741,6.31047999418913e-17,0.000492740548497961,-66.1476339477506,-38.0708125798912
106,1.85004900711399,0.0339827066701546,1.5707963267949,6.12303176911189e-17,1.85004900711399,6.36978649516976e-17,0.000428144930259443,-67.368183883405,-37.9933432193263
108,1.88495559215388,0.0284000326608722,1.5707963267949,6.12303176911189e-17,1.88495559215388,6.43813660303196e-17,0.000361587367320074,-68.8357350152067,-37.9021118051815
110,1.91986217719376,0.0228955541001142,1.5707963267949,6.12303176911189e-17,1.91986217719376,6.51599430885273e-17,0.000295091228733355,-70.6008739848105,-37.7958971536682
112,1.95476876223365,0.0176636817903488,1.5707963267949,6.12303176911189e-17,1.95476876223365,6.60390249350576e-17,0.000230815921678824,-72.7346847371231,-37.6763093839879
114,1.98967534727354,0.0129369804795207,1.5707963267949,6.12303176911189e-17,1.98967534727354,6.70249270891493e-17,0.000171310841694523,-75.3243030221713,-37.560961479107
116,2.02458193231342,0.00907330934055453,1.5707963267949,6.12303176911189e-17,2.02458193231342,6.81249702790511e-17,0.000120382304086909,-78.3887469728987,-37.544061327567
118,2.05948851735331,0.00673841660842939,1.5707963267949,6.12303176911189e-17,2.05948851735331,6.93476240111365e-17,8.54897273507925e-05,-81.3617213599156,-37.9328785220512
12,0.20943951023932,0.00589440540856217,1.5707963267949,6.12303176911189e-17,0.209439510239319,2.94501561938569e-16,8.69790183016002e-05,-81.2117099671235,-36.6205100207016
120,2.0943951023932,0.00659792360595118,1.5707963267949,6.12303176911189e-17,2.0943951023932,7.07026808030676e-17,7.77153579535422e-05,-82.1898629662238,-38.578008621432
122,2.12930168743308,0.00798445777915522,1.5707963267949,6.12303176911189e-17,2.12930168743308,7.22014682523675e-17,9.38723349769383e-05,-80.5492475875028,-38.5941561622616
124,2.16420827247297,0.00972514250450777,1.5707963267949,6.12303176911189e-17,2.16420827247297,7.38571081916238e-17,0.00011766780577696,-78.5868469004747,-38.3447663774845
126,2.19911485751286,0.0112634121554774,1.5707963267949,6.12303176911189e-17,2.19911485751286,7.56848349501309e-17,0.000140048298085945,-77.0744432900213,-38.1078428158003
128,2.23402144255274,0.0124170818088245,1.5707963267949,6.12303176911189e-17,2.23402144255274,7.77023884647106e-17,0.00015792244684464,-76.0311227135884,-37.9115135623866
130,2.26892802759263,0.0131453827120688,1.5707963267949,6.12303176911189e-17,2.26892802759263,7.99305030421177e-17,0.000170404174059637,-75.370395427435,-37.7458601192345
132,2.30383461263252,0.0134656965109212,1.5707963267949,6.12303176911189e-17,2.30383461263252,8.23935195293659e-17,0.000177476723277758,-75.0171719637169,-37.6017484064899
