"angle_deg","phi_scatter_rad","mod_f_bempp","theta_body_tmm","phi_body_tmm","theta_scatter_tmm","phi_scatter_tmm","mod_f_tmm","sigma_scat_dB","delta_amp_db"
0,0,0.0118967421501337,0.785398163397448,8.65927457071936e-17,0,0,0.000163360002504676,-75.7370853719691,-37.2456463478392
10,0.174532925199433,0.0161204162659878,0.785398163397448,8.65927457071936e-17,0.174532925199433,3.52611346193123e-16,0.000219061385086593,-73.1886834138071,-37.3362084556047
100,1.74532925199433,0.00841277863342642,0.785398163397448,8.65927457071936e-17,1.74532925199433,6.21748940377806e-17,0.00010333455774747,-79.7150882977427,-38.2138775260817
102,1.78023583703422,0.0074324856686613,0.785398163397448,8.65927457071936e-17,1.78023583703422,6.25982394121132e-17,9.03418233090756e-05,-80.8822229721762,-38.3049045815763
104,1.8151424220741,0.0068794979017463,0.785398163397448,8.65927457071936e-17,1.8151424220741,6.31047999418913e-17,8.12022306923899e-05,-81.8086408033319,-38.5597756539194
106,1.85004900711399,0.00684115979355646,0.785398163397448,8.65927457071936e-17,1.85004900711399,6.36978649516976e-17,7.77810788158722e-05,-82.1825207505053,-38.8851154435141
108,1.88495559215388,0.00723068179238807,0.785398163397448,8.65927457071936e-17,1.88495559215388,6.43813660303196e-17,8.02300080627048e-05,-81.9132632830626,-39.0968482737989
110,1.91986217719376,0.00785299589223477,0.785398163397448,8.65927457071936e-17,1.91986217719376,6.51599430885273e-17,8.67972738676872e-05,-81.2298782989616,-39.1305857045718
112,1.95476876223365,0.00852140303520435,0.785398163397448,8.65927457071936e-17,1.95476876223365,6.60390249350576e-17,9.51134381950495e-05,-80.4351623801465,-39.0453845108837
114,1.98967534727354,0.00910783092653384,0.785398163397448,8.65927457071936e-17,1.98967534727354,6.70249270891493e-17,0.000103274156759567,-79.7201668476109,-38.9084660472219
116,2.02458193231342,0.00954041230206184,0.785398163397448,8.65927457071936e-17,2.02458193231342,6.81249702790511e-17,0.000110072363319132,-79.1664341772672,-38.757777052148
118,2.05948851735331,0.00978883211741534,0.785398163397448,8.65927457071936e-17,2.05948851735331,6.93476240111365e-17,0.000114866562010175,-78.796127545982,-38.6107451507525
12,0.20943951023932,0.0175689576829613,0.785398163397448,8.65927457071936e-17,0.209439510239319,2.94501561938569e-16,0.000237928583253018,-72.4710676280746,-37.3659875637677
120,2.0943951023932,0.00985199924427985,0.785398163397448,8.65927457071936e-17,2.0943951023932,7.07026808030676e-17,0.000117421866748121,-78.6050203916244,-38.4755077886946
122,2.12930168743308,0.00974937663953717,0.785398163397448,8.65927457071936e-17,2.12930168743308,7.22014682523675e-17,0.000117795977234367,-78.5773908114788,-38.356927780498
124,2.16420827247297,0.00951469782847081,0.785398163397448,8.65927457071936e-17,2.16420827247297,7.38571081916238e-17,0.00011626184225689,-78.6912559920064,-38.2591559989359
126,2.19911485751286,0.00919090729882297,0.785398163397448,8.65927457071936e-17,2.19911485751286,7.56848349501309e-17,0.000113250717747438,-78.9191807376909,-38.1863484527312
128,2.23402144255274,0.00882550572271175,0.785398163397448,8.65927457071936e-17,2.23402144255274,7.77023884647106e-17,0.000109303333457195,-79.2273318607333,-38.1421238785656
130,2.26892802759263,0.00846571854785113,0.785398163397448,8.65927457071936e-17,2.26892802759263,7.99305030421177e-17,0.000105019585358374,-79.5745940148138,-38.1278705303943
132,2.30383461263252,0.00815322419413117,0.785398163397448,8.65927457071936e-17,2.30383461263252,8.23935195293659e-17,0.000100998669514415,-79.9136869454073,-38.1402746363264
134,2.3387411976724,0.00791882213727801,0.785398163397448,8.65927457071936e-17,2.3387411976724,8.51201583205779e-17,9.77658452182491e-05,-80.1962568150782,-38.1694685849427
136,2.37364778271229,0.00777831907169724,0.785398163397448,8.65927457071936e-17,2.37364778271229,8.8144504255611e-17,9.56934683716429e-05,-80.3823540860431,-38.2000691704109
138,2.40855436775217,0.00773134742188172,0.785398163397448,8.65927457071936e-17,2.40855436775217,9.15072739301372e-17,9.49402572614633e-05,-80.4509919159971,-38.2160957061166
14,0.244346095279206,0.0192170369545705,0.785398163397448,8.65927457071936e-17,0.244346095279206,2.53099528421531e-16,0.000259269720142285,-71.7249640219595,-37.3986925278587
140,2.44346095279206,0.00776395526278468,0.785398163397448,8.65927457071936e-17,2.44346095279206,9.52574641583062e-17,9.54387279868051e-05,-80.4055071520504,-38.2071676369649
142,2.47836753783195,0.00785395806235657,0.785398163397448,8.65927457071936e-17,2.47836753783195,9.94545219168223e-17,9.694151952613e-05,-80.2698035427621,-38.1715751016799
144,2.51327412287183,0.00797681556998393,0.785398163397448,8.65927457071936e-17,2.51327412287183,1.04171238479205e-16,9.91047473328112e-05,-80.0781108273355,-38.1147018463362
146,2.54818070791172,0.00811014174957208,0.785398163397448,8.65927457071936e-17,2.54818070791172,1.09497665852124e-16,0.000101571302226203,-79.8645795901196,-38.0451484881996
148,2.58308729295161,0.00823617690072383,0.785398163397448,8.65927457071936e-17,2.58308729295161,1.15546502691725e-16,0.000104028798191193,-79.6569283747497,-37.9714416955519
150,2.61799387799149,0.00834252477793732,0.785398163397448,8.65927457071936e-17,2.61799387799149,1.22460635382238e-16,0.000106237419045181,-79.4744497738381,-37.9003998781702
