"angle_deg","phi_scatter_rad","mod_f_bempp","theta_body_tmm","phi_body_tmm","theta_scatter_tmm","phi_scatter_tmm","mod_f_tmm","sigma_scat_dB","delta_amp_db"
0,0,0.00639314405699085,1.5707963267949,6.12303176911189e-17,0,0,0.00639426797983771,-43.8841833333667,0.00152685622493353
10,0.174532925199433,0.00740501185366253,1.5707963267949,6.12303176911189e-17,0.174532925199433,3.52611346193123e-16,0.0074072220903737,-42.6068926744642,0.00259216433689833
100,1.74532925199433,0.0141380641426598,1.5707963267949,6.12303176911189e-17,1.74532925199433,6.21748940377806e-17,0.0141507445078614,-36.9844142032885,0.00778684330252436
102,1.78023583703422,0.0140777581388598,1.5707963267949,6.12303176911189e-17,1.78023583703422,6.25982394121132e-17,0.0140903031974731,-37.021593231393,0.00773677680701642
104,1.8151424220741,0.0140066114514513,1.5707963267949,6.12303176911189e-17,1.8151424220741,6.31047999418913e-17,0.0140189981478967,-37.0656604326464,0.0076779407726862
106,1.85004900711399,0.0139246924660238,1.5707963267949,6.12303176911189e-17,1.85004900711399,6.36978649516976e-17,0.0139368985257963,-37.116677240678,0.00761051261670326
108,1.88495559215388,0.0138320848340185,1.5707963267949,6.12303176911189e-17,1.88495559215388,6.43813660303196e-17,0.0138440888864822,-37.1747124193051,0.00753470349629423
110,1.91986217719376,0.0137288893570281,1.5707963267949,6.12303176911189e-17,1.91986217719376,6.51599430885273e-17,0.013740671056517,-37.2398411402516,0.00745075976782505
112,1.95476876223365,0.0136152260245045,1.5707963267949,6.12303176911189e-17,1.95476876223365,6.60390249350576e-17,0.0136267661678784,-37.312143928177,0.00735896384093282
114,1.98967534727354,0.0134912361697197,1.5707963267949,6.12303176911189e-17,1.98967534727354,6.70249270891493e-17,0.0135025168081273,-37.3917054686082,0.00725963418572567
116,2.02458193231342,0.0133570847056471,1.5707963267949,6.12303176911189e-17,2.02458193231342,6.81249702790511e-17,0.013368089247914,-37.4786132734435,0.00715312425770942
118,2.05948851735331,0.0132129623996088,1.5707963267949,6.12303176911189e-17,2.05948851735331,6.93476240111365e-17,0.0132236757044285,-37.5729561976617,0.00703982012013387
12,0.20943951023932,0.00763032451907866,1.5707963267949,6.12303176911189e-17,0.209439510239319,2.94501561938569e-16,0.0076328000554335,-42.3463222801009,0.00281754049202375
120,2.0943951023932,0.0130590881431109,1.5707963267949,6.12303176911189e-17,2.0943951023932,7.07026808030676e-17,0.0130694965970978,-37.6748227997479,0.00692013657186835
122,2.12930168743308,0.0128957111713239,1.5707963267949,6.12303176911189e-17,2.12930168743308,7.22014682523675e-17,0.0129058027500069,-37.7842995371553,0.0067945116283739
124,2.16420827247297,0.0127231131851806,1.5707963267949,6.12303176911189e-17,2.16420827247297,7.38571081916238e-17,0.0127328774941992,-37.9014687868882,0.00666339925679944
126,2.19911485751286,0.012541610328119,1.5707963267949,6.12303176911189e-17,2.19911485751286,7.56848349501309e-17,0.0125510386222403,-38.0264066800829,0.00652726033260189
128,2.23402144255274,0.0123515549691034,1.5707963267949,6.12303176911189e-17,2.23402144255274,7.77023884647106e-17,0.0123606401472083,-38.1591807383404,0.00638655186605199
130,2.26892802759263,0.012153337243736,1.5707963267949,6.12303176911189e-17,2.26892802759263,7.99305030421177e-17,0.0121620738186328,-38.2998472986387,0.00624171464256073
132,2.30383461263252,0.0119473863060317,1.5707963267949,6.12303176911189e-17,2.30383461263252,8.23935195293659e-17,0.0119557703488226,-38.4484487130649,0.00609315953042712
134,2.3387411976724,0.0117341712447464,1.5707963267949,6.12303176911189e-17,2.3387411976724,8.51201583205779e-17,0.011742200304485,-38.6050103095357,0.00594125283460223
136,2.37364778271229,0.0115142016200062,1.5707963267949,6.12303176911189e-17,2.37364778271229,8.8144504255611e-17,0.0115218746205007,-38.7695371003654,0.00578630121355496
138,2.40855436775217,0.0112880275783296,1.5707963267949,6.12303176911189e-17,2.40855436775217,9.15072739301372e-17,0.0112953446951356,-38.9420102273006,0.00562853682790457
14,0.244346095279206,0.00786174655211303,1.5707963267949,6.12303176911189e-17,0.244346095279206,2.53099528421531e-16,0.00786449858163501,-42.0865792311149,0.00303999139646696
140,2.44346095279206,0.011056239506904,1.5707963267949,6.12303176911189e-17,2.44346095279206,9.52574641583062e-17,0.0110632020287554,-39.122383134848,0.00546810355077683
142,2.47836753783195,0.0108194671910994,1.5707963267949,6.12303176911189e-17,2.47836753783195,9.94545219168223e-17,0.010826077371193,-39.3105774688561,0.00530504523921664
144,2.51327412287183,0.0105783784425983,1.5707963267949,6.12303176911189e-17,2.51327412287183,1.04171238479205e-16,0.0105846393462109,-39.5064787049346,0.00513929723471318
146,2.54818070791172,0.0103336771691032,1.5707963267949,6.12303176911189e-17,2.54818070791172,1.09497665852124e-16,0.0103395925249134,-39.7099315220728,0.00497068242228029
148,2.58308729295161,0.0100861008603026,1.5707963267949,6.12303176911189e-17,2.58308729295161,1.15546502691725e-16,0.0100916749234394,-39.9207349514965,0.00479891331859691
150,2.61799387799149,0.00983641746859508,1.5707963267949,6.12303176911189e-17,2.61799387799149,1.22460635382238e-16,0.00984165490377518,-40.1386373501797,0.00462360176080336
152,2.65290046303138,0.00958542166701854,1.5707963267949,6.12303176911189e-17,2.65290046303138,1.30423911786631e-16,0.00959032746009055,-40.3633312733075,0.0044442778071248
154,2.68780704807127,0.00933393047101766,1.5707963267949,6.12303176911189e-17,2.68780704807127,1.39676888270614e-16,0.00933850987675067,-40.5944483510599,0.00426041940544513
156,2.72271363311115,0.00908277821533423,1.5707963267949,6.12303176911189e-17,2.72271363311115,1.50540451010478e-16,0.00908703674830634,-40.8315543128257,0.00407149419706833
158,2.75762021815104,0.00883281088277907,1.5707963267949,6.12303176911189e-17,2.75762021815104,1.63452322429192e-16,0.00883675435671119,-41.0741443463398,0.00387701445615374
16,0.279252680319093,0.00809851560164302,1.5707963267949,6.12303176911189e-17,0.279252680319093,2.22140854274378e-16,0.00810155379139861,-41.8286336018929,0.0032579343440743
160,2.79252680319093,0.00858487978849183,1.5707963267949,6.12303176911189e-17,2.79252680319093,1.79025472288677e-16,0.00858851440730357,-41.3216390295623,0.00367660556633684
162,2.82743338823081,0.00833983463222967,1.5707963267949,6.12303176911189e-17,2.82743338823081,1.98145470332369e-16,0.00834316713347858,-41.5733811275554,0.00347008756076425
164,2.8623399732707,0.00809851594316376,1.5707963267949,6.12303176911189e-17,2.8623399732707,2.22140854274378e-16,0.00810155379139861,-41.8286336018929,0.0032575680533129
166,2.89724655831059,0.00786174695763784,1.5707963267949,6.12303176911189e-17,2.89724655831059,2.53099528421531e-16,0.00786449858163501,-42.0865792311149,0.00303954336069746
168,2.93215314335047,0.00763032499144645,1.5707963267949,6.12303176911189e-17,2.93215314335047,2.94501561938569e-16,0.0076328000554335,-42.3463222801009,0.00281700277775438
170,2.96705972839036,0.00740501239537459,1.5707963267949,6.12303176911189e-17,2.96705972839036,3.52611346193123e-16,0.0074072220903737,-42.6068926744642,0.00259152892251914
172,3.00196631343025,0.00718652721659482,1.5707963267949,6.12303176911189e-17,3.00196631343025,4.39957989501782e-16,0.00718848455420157,-42.8672531217364,0.00236538499067694
174,3.03687289847013,0.00697553372892973,1.5707963267949,6.12303176911189e-17,3.03687289847013,5.85776503136123e-16,0.00697725381651549,-43.126309561896,0.00214157794128375
176,3.07177948351002,0.00677263304077549,1.5707963267949,6.12303176911189e-17,3.07177948351002,8.7777254790313e-16,0.0067741333146598,-43.3829252142016,0.00192388546422732
178,3.10668606854991,0.00657835403803064,1.5707963267949,6.12303176911189e-17,3.10668606854991,1.75447566516713e-15,0.00657965443004379,-43.6359383072533,0.00171683451589624
18,0.314159265358979,0.00833983435160089,1.5707963267949,6.12303176911189e-17,0.314159265358979,1.98145470332369e-16,0.00834316713347858,-41.5733811275554,0.00347037983403316
180,3.14159265358979,0.006393144966368,1.5707963267949,6.12303176911189e-17,3.14159265358979,0,0.00639426797983771,-43.8841833333667,0.00152562072188967
182,3.17649923862968,0.00621736599660624,1.5707963267949,6.12303176911189e-17,3.10668606854991,3.14159265358979,0.00621833667050165,-44.1265153654356,0.00135596139163115
184,3.21140582366957,0.00605128314139956,1.5707963267949,6.12303176911189e-17,3.07177948351002,3.14159265358979,0.00605212888634488,-44.361836636003,0.00121388039209249
186,3.24631240870945,0.00589506389307391,1.5707963267949,6.12303176911189e-17,3.03687289847013,3.14159265358979,0.00589581419015304,-44.5891242392854,0.00110543041626693
188,3.28121899374934,0.00574877492409189,1.5707963267949,6.12303176911189e-17,3.00196631343025,3.14159265358979,0.0057494608864523,-44.8074575236531,0.00103636652849883
190,3.31612557878923,0.00561238212866181,1.5707963267949,6.12303176911189e-17,2.96705972839036,3.14159265358979,0.00561303593620504,-45.0160435459661,0.00101179308219111
192,3.35103216382911,0.0054857531858368,1.5707963267949,6.12303176911189e-17,2.93215314335047,3.14159265358979,0.0054864074137761,-45.2142389073419,0.00103581270690304
