"angle_deg","phi_scatter_rad","mod_f_bempp","theta_body_tmm","phi_body_tmm","theta_scatter_tmm","phi_scatter_tmm","mod_f_tmm","sigma_scat_dB","delta_amp_db"
0,0,0.0437567523256159,0,0,0,0,0.000541565756849345,-65.3269760770612,-38.1478776911897
10,0.174532925199433,0.0422906277778908,0,0,0.174532925199433,3.52611346193123e-16,0.000520274945227125,-65.6753417565979,-38.2002243970862
100,1.74532925199433,0.00618680779892997,0,0,1.74532925199433,6.21748940377806e-17,6.92397622671231e-05,-83.1928886386521,-39.0222211250107
102,1.78023583703422,0.00623807867753846,0,0,1.78023583703422,6.25982394121132e-17,6.99245916916535e-05,-83.1074012182076,-39.0084181777853
104,1.8151424220741,0.00626079709900273,0,0,1.8151424220741,6.31047999418913e-17,7.03885044116353e-05,-83.0499652484778,-38.9825578349249
106,1.85004900711399,0.006261454917983,0,0,1.85004900711399,6.36978649516976e-17,7.06855801062809e-05,-83.0133834691831,-38.9468886299917
108,1.88495559215388,0.00624895737207196,0,0,1.88495559215388,6.43813660303196e-17,7.08847620198462e-05,-82.9889422870159,-38.9050935288452
110,1.91986217719376,0.00623333140140876,0,0,1.91986217719376,6.51599430885273e-17,7.10562575893449e-05,-82.9679533957283,-38.8623577400084
112,1.95476876223365,0.00622446242110433,0,0,1.95476876223365,6.60390249350576e-17,7.12616030481104e-05,-82.9428882461783,-38.8249252326038
114,1.98967534727354,0.00623092452993706,0,0,1.98967534727354,6.70249270891493e-17,7.15479002676057e-05,-82.9080621411094,-38.7991119618061
116,2.02458193231342,0.0062590232778808,0,0,2.02458193231342,6.81249702790511e-17,7.19460831187635e-05,-82.8598568979836,-38.7899882327287
118,2.05948851735331,0.0063121931584095,0,0,2.05948851735331,6.93476240111365e-17,7.24724063496694e-05,-82.7965463654565,-38.800151969065
12,0.20943951023932,0.0416232929744139,0,0,0.209439510239319,2.94501561938569e-16,0.000510772080248952,-65.8354570020647,-38.2221857199826
120,2.0943951023932,0.0063908533048304,0,0,2.0943951023932,7.07026808030676e-17,7.31318811344186e-05,-82.7178651058921,-38.8290420838891
122,2.12930168743308,0.00649272749157943,0,0,2.12930168743308,7.22014682523675e-17,7.39222698389818e-05,-82.6244941248797,-38.8730376316281
124,2.16420827247297,0.00661352167850597,0,0,2.16420827247297,7.38571081916238e-17,7.48375081231356e-05,-82.517613634127,-38.9262692633482
126,2.19911485751286,0.00674777926977244,0,0,2.19911485751286,7.56848349501309e-17,7.5869909691943e-05,-82.3986086575388,-38.9818260117321
128,2.23402144255274,0.00688972872970254,0,0,2.23402144255274,7.77023884647106e-17,7.70110352121125e-05,-82.2689407723061,-39.0329832263873
130,2.26892802759263,0.0070339869524212,0,0,2.26892802759263,7.99305030421177e-17,7.82515148319951e-05,-82.1301449282032,-39.074176096088
132,2.30383461263252,0.00717605008654091,0,0,2.30383461263252,8.23935195293659e-17,7.95803261105982e-05,-81.9838857099894,-39.1015949356611
134,2.3387411976724,0.00731256204849837,0,0,2.3387411976724,8.51201583205779e-17,8.0984045781634e-05,-81.8320106129109,-39.113401896476
136,2.37364778271229,0.00744138771302813,0,0,2.37364778271229,8.8144504255611e-17,8.24464658050518e-05,-81.6765591264683,-39.1096377833854
138,2.40855436775217,0.00756153446875441,0,0,2.40855436775217,9.15072739301372e-17,8.39487650757035e-05,-81.5197137629433,-39.0919124869632
14,0.244346095279206,0.0408188742547553,0,0,0.244346095279206,2.53099528421531e-16,0.000499453903627197,-66.0300917633404,-38.2473122257727
140,2.44346095279206,0.00767296945705641,0,0,2.44346095279206,9.52574641583062e-17,8.54702291690206e-05,-81.3637026315443,-39.0629720206645
