"frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
144000,144,0.60318578948924,-9.24100323486514e-06,2.24441088100694e-09,8.53961458241682e-11,-100.685617298387
146000,146,0.611563369898813,-8.97675042304163e-06,2.95893470065954e-09,8.05820569128727e-11,-100.937616511384
148000,148,0.619940950308386,-8.58591076545235e-06,3.65684361980941e-09,7.37178770448158e-11,-101.324271802489
150000,150,0.628318530717959,-8.07175272110144e-06,4.32839590334469e-09,6.51532107256196e-11,-101.86064177556
152000,152,0.636696111127531,-7.43938123959093e-06,4.96392001521987e-09,5.53444178684794e-11,-102.569261762518
154000,154,0.645073691537104,-6.6956919398494e-06,5.55395132249249e-09,4.48323213997395e-11,-103.484087729568
156000,156,0.653451271946677,-5.84929779181253e-06,6.08936960576555e-09,3.42143217377252e-11,-104.657920650052
158000,158,0.66182885235625,-4.91042904848666e-06,6.56153542869789e-09,2.41123564939688e-11,-106.177603440681
160000,160,0.670206432765823,-3.8908075925524e-06,6.96242338766388e-09,1.51384321976028e-11,-108.199190999473
162000,162,0.678584013175395,-2.80349726488908e-06,7.2847502592898e-09,7.85964998182687e-12,-111.045967942082
164000,164,0.686961593584968,-1.66273212580934e-06,7.52209608826674e-09,2.76473470412801e-12,-115.583465359908
166000,166,0.695339173994541,-4.83724957327151e-07,7.66901631174545e-09,2.34048648152344e-13,-126.306938629821
168000,168,0.703716754404114,7.17541359273732e-07,7.72114309917517e-09,5.14925218319153e-13,-122.882558382006
170000,170,0.712094334813686,1.92453666722048e-06,7.67527419707838e-09,3.70390029331009e-12,-114.313407127698
172000,172,0.720471915223259,3.12041738856297e-06,7.52944770605018e-09,9.73706137142888e-12,-110.115720926835
174000,174,0.728849495632832,4.28826803649661e-06,7.28300138135858e-09,1.83892957949476e-11,-107.35434901443
176000,176,0.737227076042405,5.41134686072717e-06,6.93661523574266e-09,2.92827229637328e-11,-105.333885412359
178000,178,0.745604656451978,6.47333200047172e-06,6.49233643331219e-09,4.19040693387635e-11,-103.777438002901
180000,180,0.75398223686155,7.45856447325592e-06,5.9535856919452e-09,5.5630219446898e-11,-102.546892268758
182000,182,0.762359817271123,8.35228433641437e-06,5.32514465731432e-09,6.97606819934784e-11,-101.563892823106
184000,184,0.770737397680696,9.14085642247638e-06,4.61312397062421e-09,8.35552774172405e-11,-100.780261145222
186000,186,0.779114978090269,9.81198216893156e-06,3.82491202029947e-09,9.6275008713383e-11,-100.164864333993
188000,188,0.787492558499841,1.03548942358778e-05,2.96910464334559e-09,1.07223843451798e-10,-99.6970862949281
190000,190,0.795870138909414,1.07605308295969e-05,2.05541631907057e-09,1.15789027959442e-10,-99.3633259192491
192000,192,0.804247719318987,1.10216869232156e-05,1.09457367348633e-09,1.21477583831474e-10,-99.1550385471141
194000,194,0.81262529972856,1.11331398835709e-05,9.81923833874203e-11,1.23946803676798e-10,-99.0676466827839
196000,196,0.821002880138133,1.10917473717668e-05,-9.21361170899235e-10,1.23026860608003e-10,-99.1000005815181
198000,198,0.829380460547705,1.08965157786189e-05,-1.95112190732016e-09,1.18734059920567e-10,-99.2542468194061
2e+05,200,0.837758040957278,1.05486378795599e-05,-2.97768987240442e-09,1.11273769980723e-10,-99.536071977063
