"frequency_hz","frequency_khz","ka","f_bs_real_acousticts","f_bs_imag_acousticts","sigma_bs_acousticts","TS_acousticts","f_bs_real_echopop","f_bs_imag_echopop","sigma_bs_echopop","TS_echopop","f_bs_real_zooscatr","f_bs_imag_zooscatr","sigma_bs_zooscatr","TS_zooscatr"
32000,32,0.134041286553164,-2.55359595859851e-06,1.04330070926489e-09,6.52085340824701e-12,-111.856955628205,-2.55359197505621e-06,1.04318168163379e-09,6.52083306329949e-12,-111.856969178137,-2.55359595859851e-06,1.04330070926528e-09,6.52085340824702e-12,-111.856955628205
34000,34,0.142418866962737,-2.62592606060034e-06,1.19517608509072e-09,6.89548910418591e-12,-111.61434923438,-2.6259215024258e-06,1.1950253632751e-09,6.8954651649878e-12,-111.614364311889,-2.62592606060034e-06,1.19517608509125e-09,6.89548910418591e-12,-111.61434923438
36000,36,0.15079644737231,-2.65333117669979e-06,1.35016848156933e-09,7.04016815620201e-12,-111.524169675002,-2.65332610562396e-06,1.34998226791507e-09,7.04014124523775e-12,-111.524186275891,-2.65333117669979e-06,1.35016848156954e-09,7.04016815620201e-12,-111.524169675002
38000,38,0.159174027781883,-2.63183454623927e-06,1.50552093122769e-09,6.92655534537174e-12,-111.59482691279,-2.63182906971112e-06,1.5052962658792e-09,6.92652651809335e-12,-111.594844987508,-2.63183454623927e-06,1.50552093122831e-09,6.92655534537174e-12,-111.59482691279
40000,40,0.167551608191456,-2.55830504367962e-06,1.65825047889082e-09,6.54492744631123e-12,-111.840951634511,-2.55829932085211e-06,1.65798569920402e-09,6.54489816398893e-12,-111.8409710651,-2.55830504367962e-06,1.65825047889016e-09,6.54492744631123e-12,-111.840951634511
42000,42,0.175929188601028,-2.43054061595638e-06,1.8051974776958e-09,5.90753094455156e-12,-112.285939947886,-2.43053486275348e-06,1.80489274479663e-09,5.90750297669792e-12,-112.285960508614,-2.43054061595638e-06,1.80519747769631e-09,5.90753094455156e-12,-112.285939947886
44000,44,0.184306769010601,-2.24733600895913e-06,1.94307971518639e-09,5.05052291272315e-12,-112.966636542866,-2.24733050194267e-06,1.94273760227597e-09,5.05049815919129e-12,-112.966657828481,-2.24733600895914e-06,1.94307971518602e-09,5.05052291272315e-12,-112.966636542866
46000,46,0.192684349420174,-2.00853338590351e-06,2.06855053053645e-09,4.03421064119033e-12,-113.942414293959,-2.0085284646723e-06,2.06817666472397e-09,4.0341908707536e-12,-113.94243557746,-2.00853338590351e-06,2.06855053053654e-09,4.03421064119033e-12,-113.942414293959
48000,48,0.201061929829747,-1.71505472261303e-06,2.17826000375912e-09,2.94141744637391e-12,-115.314433359855,-1.71505079048928e-06,2.17786375025906e-09,2.9414039570484e-12,-115.314453276623,-1.71505472261303e-06,2.17826000376003e-09,2.94141744637391e-12,-115.314433359855
50000,50,0.20943951023932,-1.36891516772539e-06,2.26891823099447e-09,1.87393388441857e-12,-117.272457358275,-1.36891269051396e-06,2.26851340547932e-09,1.87392710040323e-12,-117.272473080632,-1.36891516772539e-06,2.26891823099321e-09,1.87393388441856e-12,-117.272457358275
